UBV photometry of NGC 6087, wherein S Nor lies.
29 * Taken from Turner 1986, Astron. J. 92, 111
  V      B-V     U-B
11.46    0.15    0.08
12.08    0.22    0.21
12.10    0.24    0.25
12.56    0.37    0.24
 8.28    0.06   -0.18
 9.44    0.06   -0.25
10.29    0.01   -0.33
10.63    0.06   -0.18
 7.95    0.07   -0.34
10.03    0.09   -0.25
 8.72    0.03   -0.40
12.18    0.28    0.24
 9.40    0.03   -0.34
12.56    0.29    0.24
11.90    0.17    0.13
 8.47    0.03   -0.34
11.39    0.13   -0.02
 9.70    0.09   -0.23
11.41    0.18    0.12
 9.29    0.03   -0.38
10.18    0.05   -0.36
 8.31    0.02   -0.41
10.19    0.09   -0.29
 8.99    0.03   -0.38
 9.18    0.05   -0.36
11.32    0.15    0.04
10.38    0.07   -0.24
11.02    0.13   -0.03
11.45    0.22    0.18
