UBV photometry of the Pleiades.
50 * taken from Johnson and Mitchell ApJ 128, 31
 V      B-V     U-B
7.51    0.15    0.10
8.23    0.25    0.14
8.06    0.20    0.15
5.46   -0.04   -0.33
3.71   -0.11   -0.41
5.65   -0.07   -0.36
4.31   -0.11   -0.46
8.04    0.21    0.18
7.18    0.16    0.08
3.88   -0.07   -0.40
6.85    0.04    0.01
7.85    0.20    0.16
5.76   -0.04   -0.23
6.43   -0.02   -0.15
4.18   -0.06   -0.43
7.35    0.10    0.12
6.82    0.02   -0.07
6.29    0.02   -0.02
6.99    0.03    0.05
7.66    0.21    0.12
7.26    0.05    0.04
8.13    0.25    0.13
7.77    0.15    0.12
6.81    0.06    0.02
2.87   -0.09   -0.34
5.45   -0.07   -0.32
6.95    0.12    0.09
3.64   -0.08   -0.36
5.09   -0.08   -0.28
8.12    0.22    0.10
7.52    0.10    0.11
6.60   -0.03   -0.12
8.10    0.22    0.13
6.17   -0.05   -0.19
7.54    0.08    0.08
6.74    0.06    0.06
6.93    0.09    0.03
6.70    0.00   -0.01
7.09    0.04    0.03
6.51    0.15    0.18
7.26    0.08    0.02
7.73    0.18    0.13
7.81    0.19    0.15
8.02    0.22    0.12
7.72    0.18    0.12
7.00    0.03   -0.02
6.07   -0.01   -0.32
7.64    0.16    0.13
6.36    0.12    0.15
7.19    0.04   -0.01
