The relation between P, V and I in LMC, from Madore 1985, IAU Coll 82
log P (days)   V    V-I
1.684        12.62  0.97
1.680        12.28  0.89
1.677        12.77  0.92
1.655        13.41  1.19
1.625        12.79  0.95
1.592        13.03  1.04
1.575        12.76  1.01
1.566        13.35  1.06
1.563        12.64  0.87
1.492        13.43  1.10
1.484        12.95  0.79
1.425        13.74  1.06
1.418        13.46  1.03
1.382        13.83  0.96
1.283        14.09  1.08
1.246        14.62  1.13
1.229        13.96  0.86
1.160        14.35  0.92
1.134        14.17  0.86
1.119        14.52  0.95
1.114        14.86  1.00
1.041        14.70  0.89
0.960        14.51  0.72
0.941        14.69  0.76
0.936        14.64  0.78
0.911        14.85  0.75
